age,sex,year,exp
38,Male,1960,33.5236267
39,Male,1960,32.62730522
40,Male,1960,31.73658079
41,Male,1960,30.85210703
42,Male,1960,29.97414991
43,Male,1960,29.10291073
44,Male,1960,28.23868665
45,Male,1960,27.38184599
46,Male,1960,26.53294393
47,Male,1960,25.69256403
48,Male,1960,24.8613208
49,Male,1960,24.039821
50,Male,1960,23.22866798
51,Male,1960,22.42845044
52,Male,1960,21.63950636
53,Male,1960,20.86215772
54,Male,1960,20.09680059
55,Male,1960,19.3437903
56,Male,1960,18.60361861
57,Male,1960,17.87688846
58,Male,1960,17.16418225
59,Male,1960,16.46597643
60,Male,1960,15.78278737
61,Male,1960,15.11507938
62,Male,1960,14.46317368
63,Male,1960,13.82746377
64,Male,1960,13.20839822
65,Male,1960,12.60650977
66,Male,1960,12.02251653
67,Male,1960,11.45729452
68,Male,1960,10.91176462
69,Male,1960,10.38644862
70,Male,1960,9.881121519
71,Male,1960,9.39480435
72,Male,1960,8.925830172
73,Male,1960,8.472101029
74,Male,1960,8.031882079
75,Male,1960,7.604484145
76,Male,1960,7.190203079
77,Male,1960,6.790232201
78,Male,1960,6.406386131
79,Male,1960,6.040317525
80,Male,1960,5.692726875
81,Male,1960,5.363462413
82,Male,1960,5.05156882
83,Male,1960,4.755383434
84,Male,1960,4.472969506
85,Male,1960,4.202429678
86,Male,1960,3.941856142
87,Male,1960,3.689171188
88,Male,1960,3.442215084
89,Male,1960,3.198913695
90,Male,1960,2.95734487
91,Male,1960,2.715672049
92,Male,1960,2.471812624
93,Male,1960,2.222827922
94,Male,1960,1.963535422
95,Male,1960,1.686651755
0,Female,1960,70.88722584
1,Female,1960,70.16579748
2,Female,1960,69.27325527
3,Female,1960,68.36830041
4,Female,1960,67.45800498
5,Female,1960,66.54281414
6,Female,1960,65.62315377
7,Female,1960,64.69943711
8,Female,1960,63.77238627
9,Female,1960,62.84302007
10,Female,1960,61.91229148
11,Female,1960,60.98084262
12,Female,1960,60.04926934
13,Female,1960,59.11812231
14,Female,1960,58.18796099
15,Female,1960,57.25929372
16,Female,1960,56.33260778
17,Female,1960,55.40836361
18,Female,1960,54.48671969
19,Female,1960,53.56782142
20,Female,1960,52.65180127
21,Female,1960,51.73825035
22,Female,1960,50.82627491
23,Female,1960,49.91525279
24,Female,1960,49.00485658
25,Female,1960,48.09450859
26,Female,1960,47.18391115
27,Female,1960,46.27277943
28,Female,1960,45.36082764
29,Female,1960,44.44825199
30,Female,1960,43.53522155
